Date : 2025-09-13 15:30:23
Directory : /home/david/workspace/GenFlow
Total : 374 files,  44189 codes, 113 comments, 2632 blanks, all 46934 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| libs/proto/src/team                                                                                                               |          3 |      1,110 |          6 |        147 |      1,263 |
| libs/proto/src/user                                                                                                               |          3 |      1,389 |          6 |        165 |      1,560 |
| libs/shared                                                                                                                       |         23 |        440 |          1 |        113 |        554 |
| libs/shared (Files)                                                                                                               |          4 |         35 |          0 |          5 |         40 |
| libs/shared/src                                                                                                                   |         19 |        405 |          1 |        108 |        514 |
| libs/shared/src (Files)                                                                                                           |          5 |        115 |          1 |         24 |        140 |
| libs/shared/src/config                                                                                                            |          2 |         35 |          0 |          4 |         39 |
| libs/shared/src/schema                                                                                                            |          5 |        133 |          0 |         57 |        190 |
| libs/shared/src/sharedServices                                                                                                    |          2 |         52 |          0 |         11 |         63 |
| libs/shared/src/types                                                                                                             |          5 |         70 |          0 |         12 |         82 |
| services                                                                                                                          |        298 |      7,822 |         66 |      1,445 |      9,333 |
| services/api                                                                                                                      |         33 |        842 |          2 |        196 |      1,040 |
| services/api (Files)                                                                                                              |          4 |        102 |          1 |          4 |        107 |
| services/api-test                                                                                                                 |         31 |        702 |          6 |        150 |        858 |
| services/api-test (Files)                                                                                                         |          4 |        102 |          1 |          4 |        107 |
| services/api-test/src                                                                                                             |         27 |        600 |          5 |        146 |        751 |
| services/api-test/src (Files)                                                                                                     |          1 |         19 |          0 |         10 |         29 |
| services/api-test/src/api                                                                                                         |          3 |        106 |          5 |         19 |        130 |
| services/api-test/src/auth                                                                                                        |          3 |         66 |          0 |         14 |         80 |
| services/api-test/src/email                                                                                                       |          4 |         58 |          0 |         11 |         69 |
| services/api-test/src/guards                                                                                                      |          2 |         49 |          0 |          9 |         58 |
| services/api-test/src/project                                                                                                     |          3 |         92 |          0 |         26 |        118 |
| services/api-test/src/socketio                                                                                                    |          4 |         57 |          0 |         11 |         68 |
| services/api-test/src/team                                                                                                        |          3 |         83 |          0 |         24 |        107 |
| services/api-test/src/types                                                                                                       |          1 |          4 |          0 |          2 |          6 |
| services/api-test/src/user                                                                                                        |          3 |         66 |          0 |         20 |         86 |
| services/api/src                                                                                                                  |         29 |        740 |          1 |        192 |        933 |
| services/api/src (Files)                                                                                                          |          1 |         19 |          0 |         10 |         29 |
| services/api/src/api                                                                                                              |          2 |         79 |          0 |         13 |         92 |
| services/api/src/auth                                                                                                             |          3 |         82 |          0 |         19 |        101 |
| services/api/src/email                                                                                                            |          4 |         61 |          0 |         11 |         72 |
| services/api/src/genworker                                                                                                        |          3 |        135 |          0 |         41 |        176 |
| services/api/src/guards                                                                                                           |          2 |         49 |          0 |          9 |         58 |
| services/api/src/project                                                                                                          |          3 |        104 |          1 |         33 |        138 |
| services/api/src/socketio                                                                                                         |          4 |         60 |          0 |         11 |         71 |
| services/api/src/team                                                                                                             |          3 |         82 |          0 |         25 |        107 |
| services/api/src/types                                                                                                            |          1 |          4 |          0 |          2 |          6 |
| services/api/src/user                                                                                                             |          3 |         65 |          0 |         18 |         83 |
| services/auth                                                                                                                     |          9 |        323 |          1 |         56 |        380 |
| services/auth (Files)                                                                                                             |          4 |        101 |          1 |          4 |        106 |
| services/auth/src                                                                                                                 |          5 |        222 |          0 |         52 |        274 |
| services/auth/src (Files)                                                                                                         |          1 |         27 |          0 |          8 |         35 |
| services/auth/src/auth                                                                                                            |          4 |        195 |          0 |         44 |        239 |
| services/email                                                                                                                    |          9 |        186 |          1 |         27 |        214 |
| services/email (Files)                                                                                                            |          4 |        101 |          1 |          4 |        106 |
| services/email/src                                                                                                                |          5 |         85 |          0 |         23 |        108 |
| services/email/src (Files)                                                                                                        |          1 |         27 |          0 |          6 |         33 |
| services/email/src/email                                                                                                          |          4 |         58 |          0 |         17 |         75 |
| services/gateway                                                                                                                  |          7 |        189 |          1 |         23 |        213 |
| services/gateway (Files)                                                                                                          |          4 |        101 |          1 |          4 |        106 |
| services/gateway/src                                                                                                              |          3 |         88 |          0 |         19 |        107 |
| services/gateway/src (Files)                                                                                                      |          1 |         23 |          0 |         10 |         33 |
| services/gateway/src/app                                                                                                          |          1 |         18 |          0 |          5 |         23 |
| services/gateway/src/proxy                                                                                                        |          1 |         47 |          0 |          4 |         51 |
| services/genworker                                                                                                                |         10 |        573 |          8 |        132 |        713 |
| services/genworker (Files)                                                                                                        |          4 |        104 |          1 |          4 |        109 |
| services/genworker-app                                                                                                            |         38 |        800 |          2 |        186 |        988 |
| services/genworker-app (Files)                                                                                                    |          1 |         19 |          0 |          1 |         20 |
| services/genworker-app/src                                                                                                        |         22 |        447 |          2 |        161 |        610 |
| services/genworker-app/src (Files)                                                                                                |          3 |         22 |          0 |         12 |         34 |
| services/genworker-app/src/adapters                                                                                               |          7 |        108 |          0 |         45 |        153 |
| services/genworker-app/src/adapters/gateways                                                                                      |          3 |         48 |          0 |         13 |         61 |
| services/genworker-app/src/adapters/repos                                                                                         |          4 |         60 |          0 |         32 |         92 |
| services/genworker-app/src/domain                                                                                                 |          7 |        213 |          2 |         77 |        292 |
| services/genworker-app/src/sio                                                                                                    |          1 |         52 |          0 |         12 |         64 |
| services/genworker-app/src/ui                                                                                                     |          4 |         52 |          0 |         15 |         67 |
| services/genworker-app/src/ui (Files)                                                                                             |          1 |          9 |          0 |          1 |         10 |
| services/genworker-app/src/ui/console                                                                                             |          3 |         43 |          0 |         14 |         57 |
| services/genworker-app/workspace                                                                                                  |         15 |        334 |          0 |         24 |        358 |
| services/genworker-app/workspace (Files)                                                                                          |          1 |          1 |          0 |          0 |          1 |
| services/genworker-app/workspace/packages                                                                                         |         14 |        333 |          0 |         24 |        357 |
| services/genworker-app/workspace/packages/Diffusers                                                                               |          3 |        136 |          0 |         10 |        146 |
| services/genworker-app/workspace/packages/Diffusers (Files)                                                                       |          1 |          8 |          0 |          0 |          8 |
| services/genworker-app/workspace/packages/Diffusers/Unified                                                                       |          2 |        128 |          0 |         10 |        138 |
| services/genworker-app/workspace/packages/Diffusers/Unified/Base                                                                  |          2 |        128 |          0 |         10 |        138 |
| services/genworker-app/workspace/packages/Diffusers/Unified/Base/Txt2ImgUnified                                                   |          2 |        128 |          0 |         10 |        138 |
| services/genworker-app/workspace/packages/GenFlow                                                                                 |         11 |        197 |          0 |         14 |        211 |
| services/genworker-app/workspace/packages/GenFlow (Files)                                                                         |          1 |         12 |          0 |          0 |         12 |
| services/genworker-app/workspace/packages/GenFlow/File                                                                            |          2 |         34 |          0 |          3 |         37 |
| services/genworker-app/workspace/packages/GenFlow/File/Save                                                                       |          2 |         34 |          0 |          3 |         37 |
| services/genworker-app/workspace/packages/GenFlow/File/Save/TextFileSave                                                          |          2 |         34 |          0 |          3 |         37 |
| services/genworker-app/workspace/packages/GenFlow/Image                                                                           |          2 |         42 |          0 |          7 |         49 |
| services/genworker-app/workspace/packages/GenFlow/Image/Base                                                                      |          2 |         42 |          0 |          7 |         49 |
| services/genworker-app/workspace/packages/GenFlow/Image/Base/ImageSave                                                            |          2 |         42 |          0 |          7 |         49 |
| services/genworker-app/workspace/packages/GenFlow/Number                                                                          |          2 |         34 |          0 |          1 |         35 |
| services/genworker-app/workspace/packages/GenFlow/Number/Base                                                                     |          2 |         34 |          0 |          1 |         35 |
| services/genworker-app/workspace/packages/GenFlow/Number/Base/NumberInput                                                         |          2 |         34 |          0 |          1 |         35 |
| services/genworker-app/workspace/packages/GenFlow/Text                                                                            |          4 |         75 |          0 |          3 |         78 |
| services/genworker-app/workspace/packages/GenFlow/Text/Base                                                                       |          2 |         34 |          0 |          1 |         35 |
| services/genworker-app/workspace/packages/GenFlow/Text/Base/TextInput                                                             |          2 |         34 |          0 |          1 |         35 |
| services/genworker-app/workspace/packages/GenFlow/Text/Operations                                                                 |          2 |         41 |          0 |          2 |         43 |
| services/genworker-app/workspace/packages/GenFlow/Text/Operations/TextConcat                                                      |          2 |         41 |          0 |          2 |         43 |
| services/genworker/src                                                                                                            |          6 |        469 |          7 |        128 |        604 |
| services/genworker/src (Files)                                                                                                    |          1 |         28 |          0 |          5 |         33 |
| services/genworker/src/genworker                                                                                                  |          5 |        441 |          7 |        123 |        571 |
| services/genworker/src/genworker (Files)                                                                                          |          2 |        107 |          0 |         24 |        131 |
| services/genworker/src/genworker/services                                                                                         |          3 |        334 |          7 |         99 |        440 |
| services/graphql                                                                                                                  |          6 |        132 |          1 |         15 |        148 |
| services/graphql (Files)                                                                                                          |          4 |        101 |          1 |          4 |        106 |
| services/graphql/src                                                                                                              |          2 |         31 |          0 |         11 |         42 |
| services/graphql/src (Files)                                                                                                      |          1 |         15 |          0 |          7 |         22 |
| services/graphql/src/app                                                                                                          |          1 |         16 |          0 |          4 |         20 |
| services/project                                                                                                                  |          8 |        377 |          1 |         72 |        450 |
| services/project (Files)                                                                                                          |          4 |        101 |          1 |          4 |        106 |
| services/project/src                                                                                                              |          4 |        276 |          0 |         68 |        344 |
| services/project/src (Files)                                                                                                      |          1 |         37 |          0 |          8 |         45 |
| services/project/src/project                                                                                                      |          3 |        239 |          0 |         60 |        299 |
| services/socket.io                                                                                                                |         10 |        403 |          3 |         79 |        485 |
| services/socket.io (Files)                                                                                                        |          4 |        101 |          1 |          4 |        106 |
| services/socket.io/src                                                                                                            |          6 |        302 |          2 |         75 |        379 |
| services/socket.io/src (Files)                                                                                                    |          1 |         50 |          0 |         11 |         61 |
| services/socket.io/src/app                                                                                                        |          5 |        252 |          2 |         64 |        318 |
| services/team                                                                                                                     |          8 |        281 |          1 |         46 |        328 |
| services/team (Files)                                                                                                             |          4 |        101 |          1 |          4 |        106 |
| services/team/src                                                                                                                 |          4 |        180 |          0 |         42 |        222 |
| services/team/src (Files)                                                                                                         |          1 |         29 |          0 |          7 |         36 |
| services/team/src/team                                                                                                            |          3 |        151 |          0 |         35 |        186 |
| services/user                                                                                                                     |          8 |        290 |          1 |         43 |        334 |
| services/user (Files)                                                                                                             |          4 |        101 |          1 |          4 |        106 |
| services/user/src                                                                                                                 |          4 |        189 |          0 |         39 |        228 |
| services/user/src (Files)                                                                                                         |          1 |         28 |          0 |          5 |         33 |
| services/user/src/user                                                                                                            |          3 |        161 |          0 |         34 |        195 |
| services/web-ui                                                                                                                   |        121 |      2,724 |         38 |        420 |      3,182 |
| services/web-ui (Files)                                                                                                           |          7 |        109 |         23 |         15 |        147 |
| services/web-ui/public                                                                                                            |         28 |         98 |          0 |         28 |        126 |
| services/web-ui/public/images                                                                                                     |         28 |         98 |          0 |         28 |        126 |
| services/web-ui/public/images (Files)                                                                                             |          1 |          9 |          0 |          1 |         10 |
| services/web-ui/public/images/icons                                                                                               |         27 |         89 |          0 |         27 |        116 |
| services/web-ui/src                                                                                                               |         86 |      2,517 |         15 |        377 |      2,909 |
| services/web-ui/src/app                                                                                                           |         17 |        174 |          1 |         60 |        235 |
| services/web-ui/src/app (Files)                                                                                                   |          3 |         58 |          1 |         15 |         74 |
| services/web-ui/src/app/(auth)                                                                                                    |          4 |         26 |          0 |         14 |         40 |
| services/web-ui/src/app/(auth) (Files)                                                                                            |          1 |         11 |          0 |          5 |         16 |
| services/web-ui/src/app/(auth)/forgot-password                                                                                    |          1 |          5 |          0 |          3 |          8 |
| services/web-ui/src/app/(auth)/login                                                                                              |          1 |          5 |          0 |          3 |          8 |
| services/web-ui/src/app/(auth)/register                                                                                           |          1 |          5 |          0 |          3 |          8 |
| services/web-ui/src/app/(authorized)                                                                                              |         10 |         90 |          0 |         31 |        121 |
| services/web-ui/src/app/(authorized) (Files)                                                                                      |          1 |         41 |          0 |         10 |         51 |
| services/web-ui/src/app/(authorized)/(with_menu)                                                                                  |          8 |         44 |          0 |         18 |         62 |
| services/web-ui/src/app/(authorized)/(with_menu) (Files)                                                                          |          1 |         16 |          0 |          4 |         20 |
| services/web-ui/src/app/(authorized)/(with_menu)/dashboard                                                                        |          1 |          4 |          0 |          2 |          6 |
| services/web-ui/src/app/(authorized)/(with_menu)/executive-servers                                                                |          1 |          4 |          0 |          2 |          6 |
| services/web-ui/src/app/(authorized)/(with_menu)/flow                                                                             |          1 |          4 |          0 |          2 |          6 |
| services/web-ui/src/app/(authorized)/(with_menu)/flows                                                                            |          1 |          4 |          0 |          2 |          6 |
| services/web-ui/src/app/(authorized)/(with_menu)/genworkers                                                                       |          1 |          4 |          0 |          2 |          6 |
| services/web-ui/src/app/(authorized)/(with_menu)/plugins                                                                          |          1 |          4 |          0 |          2 |          6 |
| services/web-ui/src/app/(authorized)/(with_menu)/settings                                                                         |          1 |          4 |          0 |          2 |          6 |
| services/web-ui/src/app/(authorized)/confirm-email                                                                                |          1 |          5 |          0 |          3 |          8 |
| services/web-ui/src/components                                                                                                    |         19 |        756 |         10 |         99 |        865 |
| services/web-ui/src/components (Files)                                                                                            |          7 |        254 |          7 |         42 |        303 |
| services/web-ui/src/components/Aside                                                                                              |          6 |        262 |          1 |         36 |        299 |
| services/web-ui/src/components/inputs                                                                                             |          1 |         21 |          0 |          1 |         22 |
| services/web-ui/src/components/node                                                                                               |          5 |        219 |          2 |         20 |        241 |
| services/web-ui/src/components/node (Files)                                                                                       |          1 |        135 |          2 |         16 |        153 |
| services/web-ui/src/components/node/inputWidgets                                                                                  |          4 |         84 |          0 |          4 |         88 |
| services/web-ui/src/hooks                                                                                                         |          1 |         30 |          0 |          8 |         38 |
| services/web-ui/src/pages                                                                                                         |         12 |        625 |          1 |         95 |        721 |
| services/web-ui/src/pages/auth                                                                                                    |          3 |         95 |          0 |         17 |        112 |
| services/web-ui/src/pages/authorized                                                                                              |          8 |        501 |          1 |         75 |        577 |
| services/web-ui/src/pages/unauthorized                                                                                            |          1 |         29 |          0 |          3 |         32 |
| services/web-ui/src/socket                                                                                                        |          2 |         19 |          0 |          4 |         23 |
| services/web-ui/src/store                                                                                                         |         31 |        863 |          3 |         98 |        964 |
| services/web-ui/src/store (Files)                                                                                                 |          4 |         50 |          0 |          8 |         58 |
| services/web-ui/src/store/nodes                                                                                                   |          4 |        111 |          2 |          7 |        120 |
| services/web-ui/src/store/nodes (Files)                                                                                           |          2 |         75 |          2 |          6 |         83 |
| services/web-ui/src/store/nodes/packets                                                                                           |          2 |         36 |          0 |          1 |         37 |
| services/web-ui/src/store/nodes/packets/GenFlow                                                                                   |          2 |         36 |          0 |          1 |         37 |
| services/web-ui/src/store/nodes/packets/GenFlow (Files)                                                                           |          1 |          8 |          0 |          0 |          8 |
| services/web-ui/src/store/nodes/packets/GenFlow/Text                                                                              |          1 |         28 |          0 |          1 |         29 |
| services/web-ui/src/store/slices                                                                                                  |          9 |        410 |          1 |         28 |        439 |
| services/web-ui/src/store/slices (Files)                                                                                          |          8 |        332 |          1 |         28 |        361 |
| services/web-ui/src/store/slices/defaults                                                                                         |          1 |         78 |          0 |          0 |         78 |
| services/web-ui/src/store/thunks                                                                                                  |         14 |        292 |          0 |         55 |        347 |
| services/web-ui/src/store/thunks/auth                                                                                             |          3 |         81 |          0 |         19 |        100 |
| services/web-ui/src/store/thunks/client                                                                                           |          2 |         58 |          0 |         13 |         71 |
| services/web-ui/src/store/thunks/flow                                                                                             |          8 |        132 |          0 |         18 |        150 |
| services/web-ui/src/store/thunks/nodes                                                                                            |          1 |         21 |          0 |          5 |         26 |
| services/web-ui/src/utils                                                                                                         |          4 |         50 |          0 |         13 |         63 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/david/workspace/GenFlow/.prettierignore                                                                                     | Ignore             |          4 |          1 |          0 |          5 |
| /home/david/workspace/GenFlow/.prettierrc                                                                                         | JSON               |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/README.md                                                                                           | Markdown           |         68 |          0 |         42 |        110 |
| /home/david/workspace/GenFlow/compose/api-test.yml                                                                                | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/api.yml                                                                                     | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/auth.yml                                                                                    | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/email.yml                                                                                   | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/gateway.yml                                                                                 | YAML               |         15 |          0 |          0 |         15 |
| /home/david/workspace/GenFlow/compose/genworker.yml                                                                               | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/graphql.yml                                                                                 | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/infra/mongodb.yml                                                                           | YAML               |          9 |          0 |          0 |          9 |
| /home/david/workspace/GenFlow/compose/infra/rabbitmq.yml                                                                          | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/infra/redis-commander.yml                                                                   | YAML               |         12 |          0 |          0 |         12 |
| /home/david/workspace/GenFlow/compose/infra/redis.yml                                                                             | YAML               |         13 |          0 |          1 |         14 |
| /home/david/workspace/GenFlow/compose/logs/datasources/loki.yml                                                                   | YAML               |          8 |          0 |          3 |         11 |
| /home/david/workspace/GenFlow/compose/logs/grafana.yml                                                                            | YAML               |         11 |          0 |          1 |         12 |
| /home/david/workspace/GenFlow/compose/logs/loki-config.yaml                                                                       | YAML               |         34 |          0 |          7 |         41 |
| /home/david/workspace/GenFlow/compose/logs/loki.yml                                                                               | YAML               |         12 |          0 |          0 |         12 |
| /home/david/workspace/GenFlow/compose/logs/promtail-config.yaml                                                                   | YAML               |         29 |          0 |          5 |         34 |
| /home/david/workspace/GenFlow/compose/logs/promtail.yml                                                                           | YAML               |         10 |          0 |          0 |         10 |
| /home/david/workspace/GenFlow/compose/project.yml                                                                                 | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/socketio.yml                                                                                | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/team.yml                                                                                    | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/user.yml                                                                                    | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/compose/web-ui.yml                                                                                  | YAML               |         13 |          0 |          0 |         13 |
| /home/david/workspace/GenFlow/docker-compose.yml                                                                                  | YAML               |        157 |          4 |         12 |        173 |
| /home/david/workspace/GenFlow/libs/proto/README.md                                                                                | Markdown           |          2 |          0 |          2 |          4 |
| /home/david/workspace/GenFlow/libs/proto/project.json                                                                             | JSON               |          9 |          0 |          1 |         10 |
| /home/david/workspace/GenFlow/libs/proto/src/auth/auth.client.ts                                                                  | TypeScript         |          9 |          0 |          2 |         11 |
| /home/david/workspace/GenFlow/libs/proto/src/auth/auth.proto                                                                      | Protocol Buffers   |         47 |          0 |         10 |         57 |
| /home/david/workspace/GenFlow/libs/proto/src/auth/auth.ts                                                                         | TypeScript         |        697 |          6 |         95 |        798 |
| /home/david/workspace/GenFlow/libs/proto/src/genworker/genworker.client.ts                                                        | TypeScript         |         17 |          2 |          5 |         24 |
| /home/david/workspace/GenFlow/libs/proto/src/genworker/genworker.proto                                                            | Protocol Buffers   |        135 |          0 |         14 |        149 |
| /home/david/workspace/GenFlow/libs/proto/src/genworker/genworker.ts                                                               | TypeScript         |      1,995 |          9 |        234 |      2,238 |
| /home/david/workspace/GenFlow/libs/proto/src/project/project.client.ts                                                            | TypeScript         |         24 |          0 |          3 |         27 |
| /home/david/workspace/GenFlow/libs/proto/src/project/project.proto                                                                | Protocol Buffers   |        125 |          0 |         19 |        144 |
| /home/david/workspace/GenFlow/libs/proto/src/project/project.ts                                                                   | TypeScript         |      1,989 |          6 |        234 |      2,229 |
| /home/david/workspace/GenFlow/libs/proto/src/socketio/socketio.client.ts                                                          | TypeScript         |          6 |          0 |          1 |          7 |
| /home/david/workspace/GenFlow/libs/proto/src/socketio/socketio.proto                                                              | Protocol Buffers   |         23 |          0 |          6 |         29 |
| /home/david/workspace/GenFlow/libs/proto/src/socketio/socketio.ts                                                                 | TypeScript         |        321 |          6 |         44 |        371 |
| /home/david/workspace/GenFlow/libs/proto/src/team/team.client.ts                                                                  | TypeScript         |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/libs/proto/src/team/team.proto                                                                      | Protocol Buffers   |         67 |          0 |         12 |         79 |
| /home/david/workspace/GenFlow/libs/proto/src/team/team.ts                                                                         | TypeScript         |      1,033 |          6 |        134 |      1,173 |
| /home/david/workspace/GenFlow/libs/proto/src/user/user.client.ts                                                                  | TypeScript         |          9 |          0 |          2 |         11 |
| /home/david/workspace/GenFlow/libs/proto/src/user/user.proto                                                                      | Protocol Buffers   |         81 |          0 |         14 |         95 |
| /home/david/workspace/GenFlow/libs/proto/src/user/user.ts                                                                         | TypeScript         |      1,299 |          6 |        149 |      1,454 |
| /home/david/workspace/GenFlow/libs/proto/tsconfig.json                                                                            | JSON with Comments |         13 |          0 |          1 |         14 |
| /home/david/workspace/GenFlow/libs/proto/tsconfig.lib.json                                                                        | JSON               |          9 |          0 |          1 |         10 |
| /home/david/workspace/GenFlow/libs/shared/README.md                                                                               | Markdown           |          2 |          0 |          2 |          4 |
| /home/david/workspace/GenFlow/libs/shared/project.json                                                                            | JSON               |          9 |          0 |          1 |         10 |
| /home/david/workspace/GenFlow/libs/shared/src/config/gRPC_client.config.ts                                                        | TypeScript         |         15 |          0 |          3 |         18 |
| /home/david/workspace/GenFlow/libs/shared/src/config/pino.config.ts                                                               | TypeScript         |         20 |          0 |          1 |         21 |
| /home/david/workspace/GenFlow/libs/shared/src/default-exception.filter.ts                                                         | TypeScript         |         68 |          1 |         10 |         79 |
| /home/david/workspace/GenFlow/libs/shared/src/grpc-exception.filter.ts                                                            | TypeScript         |         18 |          0 |          3 |         21 |
| /home/david/workspace/GenFlow/libs/shared/src/index.ts                                                                            | TypeScript         |          1 |          0 |          1 |          2 |
| /home/david/workspace/GenFlow/libs/shared/src/schema/genworker.schema.ts                                                          | TypeScript         |         17 |          0 |          8 |         25 |
| /home/david/workspace/GenFlow/libs/shared/src/schema/project.shema.ts                                                             | TypeScript         |         65 |          0 |         26 |         91 |
| /home/david/workspace/GenFlow/libs/shared/src/schema/task.shema.ts                                                                | TypeScript         |         17 |          0 |          8 |         25 |
| /home/david/workspace/GenFlow/libs/shared/src/schema/team.shema.ts                                                                | TypeScript         |         15 |          0 |          7 |         22 |
| /home/david/workspace/GenFlow/libs/shared/src/schema/user.shema.ts                                                                | TypeScript         |         19 |          0 |          8 |         27 |
| /home/david/workspace/GenFlow/libs/shared/src/service_name.ts                                                                     | TypeScript         |          3 |          0 |          0 |          3 |
| /home/david/workspace/GenFlow/libs/shared/src/services_config.ts                                                                  | TypeScript         |         25 |          0 |         10 |         35 |
| /home/david/workspace/GenFlow/libs/shared/src/sharedServices/health.controller.ts                                                 | TypeScript         |         16 |          0 |          4 |         20 |
| /home/david/workspace/GenFlow/libs/shared/src/sharedServices/response.service.ts                                                  | TypeScript         |         36 |          0 |          7 |         43 |
| /home/david/workspace/GenFlow/libs/shared/src/types/GenWorker.type.ts                                                             | TypeScript         |          8 |          0 |          1 |          9 |
| /home/david/workspace/GenFlow/libs/shared/src/types/Project.type.ts                                                               | TypeScript         |         35 |          0 |          5 |         40 |
| /home/david/workspace/GenFlow/libs/shared/src/types/Task.type.ts                                                                  | TypeScript         |          9 |          0 |          2 |         11 |
| /home/david/workspace/GenFlow/libs/shared/src/types/Team.type.ts                                                                  | TypeScript         |          8 |          0 |          2 |         10 |
| /home/david/workspace/GenFlow/libs/shared/src/types/User.type.ts                                                                  | TypeScript         |         10 |          0 |          2 |         12 |
| /home/david/workspace/GenFlow/libs/shared/tsconfig.json                                                                           | JSON with Comments |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/libs/shared/tsconfig.lib.json                                                                       | JSON               |         14 |          0 |          1 |         15 |
| /home/david/workspace/GenFlow/nx.json                                                                                             | JSON               |         62 |          0 |          1 |         63 |
| /home/david/workspace/GenFlow/package-lock.json                                                                                   | JSON               |     27,197 |          0 |          1 |     27,198 |
| /home/david/workspace/GenFlow/package.json                                                                                        | JSON               |        120 |          0 |          1 |        121 |
| /home/david/workspace/GenFlow/services/api-test/package.json                                                                      | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/api-test/project.json                                                                      | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/api-test/src/api/api.module.ts                                                             | TypeScript         |         44 |          5 |          7 |         56 |
| /home/david/workspace/GenFlow/services/api-test/src/api/api.service.ts                                                            | TypeScript         |         47 |          0 |          8 |         55 |
| /home/david/workspace/GenFlow/services/api-test/src/api/health.controller.ts                                                      | TypeScript         |         15 |          0 |          4 |         19 |
| /home/david/workspace/GenFlow/services/api-test/src/auth/auth.controller.ts                                                       | TypeScript         |         18 |          0 |          3 |         21 |
